text,sentiment
RT @TomBradysEgo: He got my vote #GOPDebate http://t.co/XMFPoYhcN1,Positive
RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.,Positive
Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next. http://t.co/PpxQQZFl1t j8p,Positive
"#Cuban rpt he liked #Rubio #GOPDebate. Easy 4him 2say, try livin w/him down here in #Florida &amp; C how much u like him #politicalnightmare :(",Negative
RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.,Positive
Each #GOPdebate should be staged with one chair too few. Loser left standing banished to the fighting pits of Mereen.,Negative
THIS ISNT A DEBATE!!!! This is a Q and A #GOPDebates,Negative
RT @brianstelter: Overnight #'s: #GOPDebate had a 16.0 household rating. The biggest GOP debates in 2011/12 had 5.3 ratings http://t.co/vhL…,Positive
"The #GOPDebate last night got me even more fired up about Bernie #FeelTheBern 
http://t.co/3A5MQyKifG",Positive
RT @b140tweet: Rip  #AnnRichards... She has it right.. We needed her for President #GOPDEBATES #STOPRUSH http://t.co/uw5AXjzMXC,Positive
#ChrisChristie and #CarlyFiorina what a team they'd make! #GOPDebate #Election2016,Positive
"RT @NerdyNegress: #GOPdebates
This is No damn Christian revival. Cut it out.",Negative
"The real winner of the ""kids' table"" #GOPdebate? Dick Cheney http://t.co/13LsKG3Aa3 #UnitedBlue #Hillary2016 #Mo… http://t.co/e8jH6TilTs",Positive
"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP",Negative
#FoxNews was the big winner at #GOPDebate. No way future viewership was not the objective. Surely already said.,Positive
RT @stephenstephan: Rubio: Basically all life is sacred. #Prolife #GOPDebate,Positive
"It sounds like Jeb was provided his questions before the debate. ""This has happened 27 times"" like a reflex.  #GOPdebates",Negative
"I know I'm tweeting too much, but I'm just tryna to get a forced invite to Trump's next wedding. #GOPDebates #GOPteen",Positive
RT @megynkelly: .@brithume: Best closing statement was @RealBenCarson #GOPDebate,Positive
"RT @RWSurferGirl: @tedcruz and @realDonaldTrump need to take control of this debate,  they can do it, 🇺🇸 #GOPDebate  #GOPDebates",Positive
#FF WHOA (WEIRD format -Any1 know about this?) https://t.co/Np8CjQWYJi #GOPDebate #GOP #RNC @Reince @rushlimbaugh @kilmeade #FoxNews #TCOT,Positive
RT @LollyOhMy: Good thing #climatechange is not something to worry about! I'm excited about the beaches in Colorado. #GOPDebate,Positive
RT @4BillLewis: #SocialMedia and the #FoxNews #GOPDebate are the future. #jebbush #MarcoRubio #scottwalker #realbencarson #JohnKasich #Chri…,Positive
17 candidates + #Trump makes the #GOPDebate interesting for a change! Top 10 moments from Thursday's debate http://t.co/1069hw6pbl,Positive
RT @RWSurferGirl: Breaking: Brian Williams just handed Chris Christie a donut to calm him down. 🇺🇸 #GOPDebate #GOPDebates,Negative
Bush says Obama didn't fix his brothers mess well enough.  #GOPDebates,Negative
"RT @Swoldemort: Here comes Chase from Facebook, asking the important questions *hurts forearm making jerk off gesture* #GOPDebates",Negative
Never thought Kasich would be the sanest guy in the room.  #ClownCarClusterFuck #GOPDebates,Positive
I hate when they call Social Security an entitlement. The  government doesn't fund Social Security you and your employer do. #GOPDebates,Negative
"RT @msgoddessrises: ""I have never gone bankrupt"" WTF???? ""Read My Lips! #GOPDebates #Trump",Negative
"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates",Positive
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
RT @ladybeau49: #GOPDebate We'd like to hear more from @tedcruz. The constitution is his touchstone. #IRS #BadIranDeal #Patriots #RedNation…,Positive
@MarkGillar @UpInTheHills Night before she gave platform to an illegal VARGAS 2 voice his views. #megynKellysucks #GOPDebates #conservatives,Negative
"RT @johnschambers: #TRUMP2016 #GOPDEBATES  Finally, someone saying...SCREW POLITICAL CORRECTNESS.  Sick of it, and looking to NEW leadershi…",Positive
#GOPDebates Wowww they went through the #BlackLivesMatter like they don't matter. One candidate then its commercial time. Shit,Negative
"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates",Positive
proud of the @GOP field after #GOPDebate Took tough questions and most cases knocked them out of the park. @JohnKasich @marcorubio my favs,Positive
Has Ted Cruz never heard of anwar al-awlaki and samir khan? #gopdebates #FoxDebate,Negative
"WOW. The ratings for last night's #GOPDebate are jaw dropping. Nielsen says 16.0 nationwide, most watch debate ever.",Positive
"Watched #GOPDebates; loved #BenCarson closing statement. ""#Trump is affectionate mad man while Carson is affectionate person who cares.""🇺🇸",Positive
RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016,Positive
@nytopinion @FrankBruni the fact that MODERATORS are attacking Candidates shows it is not a debate but a large group interview.#GOPDebates,Positive
#GOPDebate #DonaldTrump all the way. Time to fix Obama's mess.,Positive
"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…",Positive
"RT @Rob_guillory: Gotta say when Chris Christie said his first act as President would be to rename Washington DC ""Suplex City, USA"", he won…",Positive
"Only candidate to mention ""race"" was Carson who only sees brains, so. #GOPDebate",Positive
#Reagan CRUSHED #TamirRice in last nights #gopDebate!,Positive
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,Negative
"RT @daveweigel: My wrap on Rand Paul’s first hour of debating, which let him have exactly the fight he wanted http://t.co/Q3DRK3WDc3 #GOPDe…",Positive
RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates,Negative
Yes! And true of most religions: women are unclean sexual distracters &amp; men are hapless victims #religion #GOPDebate https://t.co/iX20ObGO2p,Negative
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",Negative
RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,Negative
RT @AmyMek: Thank you @seanhannity for being One of the Only True Conservatives at @FoxNews! Patriots appreciate you &amp; America needs you! #…,Positive
"RT @RWSurferGirl: Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates",Positive
Last night’s #GOPDebate had talk of God and Gays but what about the Guns? The only lives that seem to matter to that bunch is the unborn.,Negative
RT @ChrisJZullo: Scott Walker chooses killing mother rather than aborting unborn embryo. This is reason other countries give us that funny …,Negative
"You must admit, @realDonaldTrump throws #shade like #RHOA LOL! 😂😂😂 #GOPDebate  https://t.co/c9LUq1dwW3",Negative
"RT @nonsequiteuse: If you don't want alcohol poisoning from the #GOPDebates, play #YouHateIDonate instead. Pick a cause &amp; when the GOP hate…",Negative
"RT @TheJimHughes: There will be a lot of jobs available if Bush serves 2 terms, because most Conservatives will have committed suicide. #GO…",Negative
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
sydtrvp: RT BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie http://t.co/AuhlNZa3Ww,Positive
"RT @_HankRearden: Well, so much for Krauthammer's theory about the 'collapse of Trump' lol. #GOPDebate #Trump2016 http://t.co/xtMDUbZGnj",Negative
"Learn how to get away with sexism in 5 easy steps from @realdonaldtrump #GOPdebate  via @voxdotcom
http://t.co/TDTyFtWEcp",Negative
"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates",Positive
RT @Rambobiggs: Jeb Bush Sucks #GOPDebate,Negative
RT @comcatholicgrl: @marcorubio slaying #GOPDebate http://t.co/sLFVbkScmS,Positive
"Please note, this is not a lie. World only has 53.3 years of oil reserves left. Hello, anyone listening? #GOPDebate #uniteblue #cnn #manbc",Negative
YOU FUCKING DICKSHITS - PLANNED PARENTHOOD IS NOT AN ABORTION EMPORIUM. #GOPDebates,Negative
"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates",Positive
"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…",Positive
RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,Negative
YES! MT @CNNPolitics: .@marcorubio takes a stand on abortion during the #GOPDebate http://t.co/8KAOnV4Kb7 http://t.co/fiQDbU1do2”,Positive
RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates,Negative
RT @rightwinglatina: Marco Rubio emerges as the party’s brightest star http://t.co/TTG6gEG3sE #GOPDebate #Rubio2016 #ImwithMarco,Positive
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",Negative
I would of guessed it was his haircut. #GOPDebate #ScottWalker  https://t.co/rYvtecZ0pm,Negative
RT @renomarky: This picture taken during #GOPDebate of #Hillary2016 tels you how she's so in touch with middle-class hardworking 🇺🇸s http:/…,Positive
"RT @TeaPainUSA: While Ted Cruz is speaking, all over America parents are tryin' to convince their 5 year olds that vampires aren't real. #G…",Negative
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
RT @TheNormanLear: Jeb Bush is making a great case for his staying in Florida. #GOPDebate,Positive
In all seriousness #JohnKasich was the best in the debate tonight. #DonaldTrump is just a joke. #GOPDebates,Positive
The GOP candidates were grilled.  Hard.  Expecting softballs on the Dem side #GOPDebate #tcot #ccot #ycot http://t.co/lU2h8mspy9,Negative
"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…",Positive
"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",Positive
"RT @steviecoolest: #GOPDebate
Cands/Mods: Trump, you can't run independent! We'll lose!
Me: Your last pick said http://t.co/c2r0qZdexv was …",Negative
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Positive
Many good men in 2nd GOP debates #GOPDebate #GOPDebates,Positive
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Negative
RT @jjauthor: The policies of Barack Obama have managed to provide neither peace nor prosperity! #GOPDebate @realDonaldTrump @tedcruz,Negative
"RT @LadySandersfarm: We're sick of political correctness, it's killing the heart and soul of this country. #GOPDebate #Trump2016 http://t.c…",Positive
"This moderator is probably pure evil and pisses on puppies in the morning, but his faces to the camera are hysterical #GOPDebates",Negative
@megynkelly U disappointed me in last night's #GOPDebate. U should've asked @realDonaldTrump Q's that are pertinent 2 duties of a President.,Negative
"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",Positive
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
Oh @RealBenCarson you are brilliant &amp; I love you but please drink a few Red Bulls before the next debate. #GOPdebates 🇺🇸,Positive
"RT @vanesa_44: Carson is boss right now. BYE HILLARY. 
#GOPDebates",Positive
I'm glad trump shut down four failing biz. He didn't borrow 19 trillion to keep them afloat and enslave his children's children #GOPDebate,Positive
Did @realDonaldTrump really say the moderators of the #GOPDebate weren't professional? #AreYouKiddingMeWithThis,Negative
"@thedailybeast: WATCH: Trump's disgusting ""drop to your knees"" comment (mentioned @ #GOPdebate  http://t.co/yyz21reoOD #trumpisapig #fb",Negative
"RT @MURlCAFUCKYEAH: RT if you agree!

“The big problem this country has is being politically correct” #GOPDebate http://t.co/liuGl1haa3",Positive
RT @ericstonestreet: Trump has Cam hands. #GOPDebates,Positive
"RT @princessomuch: #ScottWalker: ""yes Megyn, I believe in killing mothers; I'd kill my own mother to get elected.""  #GOPDebate",Negative
RT @MartinOMalley: We must rein in Wall Street. I call on every candidate to commit to these four principles. #WWOMD #GOPdebate http://t.co…,Positive
I really liked many of the candidates as people but not so much as future Presidents. #GOPDebate @HappeningNow,Negative
"The Donald called Famed Pollster #FrankLuntz a ""Low class Slob""..LOL..The Republicans are giving us Entertainment Baby!!#GOPDebate",Negative
RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. #GOPDebates http://t.co/o…,Positive
RT @RhondaWatkGwyn: It sure was. #Huckabee delivered his message well.  #ImWithHuck #GOPDebate #th2016 #ccot #tcot #teaparty #pjnet https:/…,Positive
“This country owes 19 trillion dollars and we need someone like me to fix this mess” – Donald Trump #GOPDebates,Positive
#Fox News Fails To Disclose Its Pro-Walker Debate Analyst Is A Walker Adviser And Co-Author http://t.co/76AhMnCUHb #GOPDebate #ScottWalker,Negative
Gotta love @megynkelly #GOPDebate,Positive
RT @Elb3001: #GOPDebate screw you @GovMikeHuckabee look up @TheLadyValor and see how transgender ppl serve this country in our military!,Negative
RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw,Negative
"NYTimes: “It compels me to write a cluster of words I never imagined writing: hooray for Fox News.” #GOPdebate 
http://t.co/zDJ3liGTAy",Positive
RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.,Positive
"RT @FreedomJames7: Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c",Positive
"RT @JaxGotJokes: OMG, like, just pretend as if this was supposed to be a way to determine the next leader of a major world power LOL #GOPDe…",Negative
"Oh race issues, this should be good. #GOPDebates",Positive
Just saw a limp balloon. Made me think of @realDonaldTrump after the #GOPDebate last night #DebatesAreHard #SadClown #YoureFired,Negative
RT @FreedomTexasMom: My LOVE for @megynkelly died tonight at the #GOPDebate #FoxNews #TrumpCruz2016 #MakeAmericaGreatAgain,Negative
RT @SalMasekela: Is Kasich aware that he's making sense? #GOPDebates,Positive
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP",Negative
RT @ChrisChristie: I will make no apologies for protecting the lives and the safety of the American people. #GOPDebate https://t.co/gMaMj9n…,Positive
"RT @irritatedwoman: Retweeted ✯✯Gene McVay✯✯ (@GeneMcVay):

#GOPDebate proved that @FoxNews is ALL IN for another liberal... http://t.co/Dz…",Negative
"Racist, religious fanatic debate.  #GOPignorance #GOPDebate  https://t.co/u8zEB21JXh",Negative
RT @SpudLovr: #Walker16's Rejection of Medicaid Money Costing Wisconsin Nearly $400 Million http://t.co/WVCiloZKpf #wiunion #GOPDebate #p2 …,Negative
RT @ScottWalker: .@BarackObama’s nuclear agreement with #Iran will be remembered as one of America's worst diplomatic failures. #GOPdebate …,Positive
RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates,Negative
"#GOPDebate What happened to dignity, polish and manners in the debate forum??",Negative
Ohio Governor John Kasich you are currently the man. #GOPDebates #Kasich #O-H,Positive
"If @megynkelly moderated Perot debate: ""Mr Perot, u r ugly! Doesn't that disqualify u from being President?"" #FoxNews sucked #GOPDebate",Negative
RT @rmuench22: This. Is. EVERYTHING. #GOPDebate #HillaryForPresident http://t.co/WrDBMfApbm,Positive
"RT @TeaPainUSA: While Ted Cruz is speaking, all over America parents are tryin' to convince their 5 year olds that vampires aren't real. #G…",Negative
RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates,Positive
RT @jolemo376: I think @FoxNews did everything it could to derail the @realDonaldTrump during the #GOPDebate. Newsflash you failed @megynke…,Negative
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,Negative
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Negative
RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates,Positive
"Opening, closing, &amp; occasionally canned statements aside, the #GOPDebates were legitimately entertaining and exciting. @LOLGOP @misl4fun 4/4",Positive
Imma pay for this tomorrow... #GOPDebates http://t.co/3Y2kRZuMaI,Negative
Chris Christie: Pro-Life Republicans Should Never Apologize for Being Pro-Life http://t.co/mDMnEd8lGq #GOPDebate http://t.co/T8olJo68Mj,Positive
"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates.",Positive
"RT @LadyLiberty1885: This @foxnews debate was about pushing trump down, lifting up Common core Jeb and silencing Cruz. #gopdebate",Negative
Check out what Donald Trump &amp; the rest of the #GOPDebate believe is this year's Song of The Summer (it's Trap Queen) http://t.co/UgqnVjBhLP,Negative
WHAT IS LOVE? Presenting D Trump at the Roxbury! https://t.co/SERwdl1yfc #DonaldTrump #GOPDebate http://t.co/k5kvYbeij8,Positive
"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",Negative
Has anyone noticed that Trump zealots are like the old Ron #PaulBots? #GOPDebate.  They were very skilled at stacking polls too.,Negative
"RT @StevenSinger3: #BATSask if Scott Walker's ""Pro-life"" stance covers school kids, too? http://t.co/39ZRoENv9K #GOPDebate",Negative
"RT @nonprophetess: ""Received word from God.""

This should be good.
#GOPDebate",Positive
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
RT @RealMikeBennett: #DonaldTrump finishing each answer during the #GOPDebate http://t.co/AxCSmlUzFL,Positive
RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,Negative
"Believing in ""God"" is not a prerequisite for the Office of the Presidency. Why are we talking about it? #GOPDebates",Negative
RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.,Positive
"@realDonaldTrump Whine, whine, whine, boo-hoo I got hard questions 😩#GOPDebate",Negative
RT @AlyssaLafage: Anddd Huckabee was correct on transgender military service. Our armed forces should not be a social experiment. #GOPDebate,Positive
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,Negative
RT @EyeOnPolitics: Megan Kelly's voicemail is going to be full of angry messages tomorrow. She's not making any friends on that stage tonig…,Negative
RT @lizadonnelly: Political nonsense last night. #GOPdebate (See all on my http://t.co/x6hXFxQjgd site.)… https://t.co/f0UQP5U0Wv,Negative
@megynkelly I thought you did a great job last night. You asked hard questions and kept the candidates on their toes. #GOPDebate #MegynKelly,Positive
RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates,Positive
"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates",Positive
RT @2noame: So @SenSanders live-tweeted the #GOPDebate using #DebateWithBernie and @HillaryClinton hung out with @KimKardashian &amp; @kanyewes…,Negative
Good show. Bring on #JonVoyage. Prediction: Trump goes independent.  #GOPDebate #GopDebates @FoxNews see ya once y'all narrow it to 1. Gah!,Positive
RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? #GOPDebates #womensrights  #combover http://t.co/IS9GYB7P31,Negative
RT @megynkelly: Tune in! #KellyFile is LIVE from the #GOPDebate http://t.co/O9S38ELWo5,Positive
"RT @wriglied: Huckabee: We need a leader who believes we can once again be one nation under God.

SEPARATION. BETWEEN. CHURCH. AND. STATE. …",Positive
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
@BillHemmer @marthamaccallum @FoxNews Kudos to Bill &amp; Martha. Excellent #GOPDebate moderators. The prime time team was awful in comparison!,Positive
@Slate #GOPDebates Our president should be less like #TedCruz,Positive
#GOPDebate Maybe they were right to try &amp; destroy Obama in 1st term. It's hard to imagine being led automatically by an old White guy.,Negative
"RT @YaakovSchapiro: My #GOPDebate analysis 6) Ted Cruz = A true reaganite, Strong principles, Had great moments, Not a politician, Will ris…",Positive
This guy... #GoAway #GOPDebates https://t.co/Ifrw11Tfwo,Negative
Ben Carson at last night's #GOPDebate http://t.co/efv4ZagbAW,Positive
No matter what @realDonaldTrump was the reason a lot of people tuned in last night who wouldn’t have otherwise. Good for the #GOPdebate,Positive
"YEAH, @JohnKasich seems like the most level-headed person on that stage. In other words: he's the only sane one! #GOPDebates #GOPDebate",Positive
"RT @BachmannsBrain: Wow, I forgot Chris Christie was even there. The smell of desperation, flop sweat, and salami would have tipped me off.…",Negative
"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A",Positive
After watching the #GOPDebate it made me realize why i became a libertarian.,Negative
Who is the fox news guy with the white lady movie star tiny nose job? #GOPDebates,Negative
Oh my G-O-S-H. She really is fantastic! #CarlyFiorina #GOPDebate #ChrisMatthewsgottold  https://t.co/H3DSS4Dxmo,Positive
RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,Negative
RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates,Negative
I was surprisingly impressed with @marcorubio last night. Definitely is moving up my list of candidates! #GOPdebate,Positive
@AC360 @donnabrazile American people are not going to put up with #PCPolice feelings #trumptruth is the pulse of #AmericanVoters #GOPDebate,Negative
"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…",Negative
RT @billmaher: Enough with hating on Trump for being misogynist! Get to the part where these 10 guys debate whether Amy Schumer is fuckable…,Negative
RT @KatiePavlich: Fiorina didn't make a single mistake and made strong arguments with details to back them up. Excellent job. #GOPDebate,Positive
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",Negative
"RT @RepGeoffDiehl: #GOPDebate is great, but for #MAGOP who want to take a positive step for our state on Nov. 3, please attend:
https://t.c…",Positive
"IF the election were today &amp; I had to vote, based on last night's #GOPDebate my vote for POTUS would be @tedcruz . Bold Christians are rare!",Positive
RT @abburgess95: Now I see why political commentators have been saying to watch out for @GovMikeHuckabee in the #GOPDebate. He's making som…,Positive
RT @tperkins: TRUTH: The military is not a social experiment. -- @GovMikeHuckabee #GOPDebate,Positive
RT @alexandraheuser: YYYYY do NON Conservatives get all the coverage and PROMOTION on #FoxNews ??? http://t.co/FhoI6AOsWf #FoxNews #GOPDeba…,Negative
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
"Kim Kardashian can make a sex tape, have a TV show &amp; do a promo pose with Hillary, but Trump can't call a women a dog. #GOPDebate #PC",Positive
"RT @wendyhagen: Also, candidates wear shock collars &amp; if they mention @HillaryClinton or @BarackObama - shocked. Somebody put me in charge …",Negative
…#Trump wasn't going to play their PC game #GOPDebate #GOPDebates  @IngrahamAngle,Positive
#GOPDebate #DonaldTrump #gopdebates #Jeb2016 #TedCruz2016 #ChrisChristie #Christie2016 this debate is like the movie Hunger Games!,Negative
@AlyonaMink is unpacking the #GOPDebate with a really great panel right now on @HuffPostLive. I'm so enthralled...,Positive
RT @kimguilfoyle: Two great debates! Who were your favorites? Let me know your thoughts #GOPDebates #RoadTo2016,Positive
"RT @nevagphx1: @CarlyFiorina Magnificent at the first #GOPDebate. I support Ted Cruz as POTUS, but would support you as running mate or POT…",Positive
RT @jiadarola: The #GOPDebate featured 10 candidates and 7 brain cells.,Negative
"RT @sewellchan: ""Hooray for Fox News."" @FrankBruni's take on the #GOPDebate: http://t.co/c4jRx2mnJd",Positive
"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",Positive
"""The Progressive movement is causing our problems and @HillaryClinton is the epitome of that."" - @RealBenCarson #GOPdebates 🇺🇸 &lt; agree",Positive
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,Negative
